"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a failing test","FAILURE","2020-05-06T11:25:13.868+05:30[Asia/Calcutta]","0.0","1.11"
"First serenity test","This is a skipped test","IGNORED","2020-05-06T11:25:14.976+05:30[Asia/Calcutta]","0.0","0.93"
"First serenity test","This test will get all the information from the Student App","FAILURE","2020-05-06T11:25:15.912+05:30[Asia/Calcutta]","0.0","0.72"
"First serenity test","This is a pending test","PENDING","2020-05-06T11:25:16.634+05:30[Asia/Calcutta]","0.0","0.67"
"First serenity test","This is a manual test","PENDING","2020-05-06T11:25:17.309+05:30[Asia/Calcutta]","0.0","0.71"
"First serenity test","This is a test with error","ERROR","2020-05-06T11:25:18.015+05:30[Asia/Calcutta]","0.0","0.74"
"First serenity test","File does not exist","COMPROMISED","2020-05-06T11:25:18.755+05:30[Asia/Calcutta]","0.0","0.72"
"First serenity test","Get all students","SUCCESS","2020-05-06T11:25:19.478+05:30[Asia/Calcutta]","0.0","0.74"
"Students CRUD test","This Test will create a New Student","SUCCESS","2020-05-06T11:25:20.438+05:30[Asia/Calcutta]","0.0","1.69"
"Students CRUD test","veirfy if the student is addded to the application successfully","SUCCESS","2020-05-06T11:25:22.128+05:30[Asia/Calcutta]","0.0","1.68"
"Students CRUD test","Update the user information and verify the updated information","SUCCESS","2020-05-06T11:25:23.808+05:30[Asia/Calcutta]","0.0","0.96"
"Students CRUD test","Delete the student and verify if the student is deleted","SUCCESS","2020-05-06T11:25:24.774+05:30[Asia/Calcutta]","0.0","0.99"
"Students CRUD test with steps","This Test will create a New Student","SUCCESS","2020-05-06T11:25:26.143+05:30[Asia/Calcutta]","0.0","0.8"
"Students CRUD test with steps","Verify if the student is addded to the application successfully","SUCCESS","2020-05-06T11:25:26.948+05:30[Asia/Calcutta]","0.0","0.87"
"Students CRUD test with steps","Update the user information and verify the updated information","SUCCESS","2020-05-06T11:25:27.822+05:30[Asia/Calcutta]","0.0","1.08"
"Students CRUD test with steps","Delete the student and verify if the student is deleted","SUCCESS","2020-05-06T11:25:28.911+05:30[Asia/Calcutta]","0.0","0.93"
